Flumendosa;;;;;;;;;;
Ballao;BALLAO;Bacini Flumendosa-Flumineddu;Flumendosa;PONTE SUL FLUMENDOSA;77,92;1,75;1,89;2,08;0,47;0;200420170000
Flumini Uri a S.Vito;SAN VITO;Bacini Flumendosa-Flumineddu;Flumendosa;PONTE SUL FLUMINI URI;7,153;0,52;0,79;1;-0,02;0;200420170000
Flumini Mannu di Cagliari;;;;;;;;;;
Fluminimannu a Decimomannu;DECIMOMANNU;Campidano;Flumini Mannu di Cagliari;DECIMOMANNU;4,79;1,5;2,5;3,1;1,86;0;200420170000
Fluminimannu a Furtei;FURTEI;Campidano;Flumini Mannu di Cagliari;PONTE SUL F.MANNU;81,44;2,76;3,3;3,84;4,63;1,61;200420170000
Flumini Mannu di Pabillonis;;;;;;;;;;
Terramaistus a Gonnosfanadiga;GONNASFANADIGA;Bacini Montevecchio-Pischilappiu;Flumini Mannu di Pabillonis;PONTE RIO TERREMAISTUS;134,54;0,91;1,31;2,1;0,36;2,86;200420170000
Mannu di Portotorres;;;;;;;;;;
Mannu di Porto Torres;USINI;Logudoro;Mannu di Portotorres;PONTE MOLINU;82,49;1,16;1,7;2,5;-0,05;-16,67;200420170000
Temo;;;;;;;;;;
Badu Crabolu;POZZOMAGGIORE;Logudoro;Temo;PONTE BADU CRABOLU;224,935;0,92;1,33;1,8;-0,17;-5,56;200420170000
Tirso;;;;;;;;;;
Flumineddu ad Allai;ALLAI;Bacino del Tirso;Tirso;ALLAI;44,128;2,18;3,07;3,78;0,62;0;200420170000
Tirso a rifornitore Tirso;ILLORAI;Bacino del Tirso;Tirso;CANTONIERA DEL TIRSO;174,75;1,47;2,07;2,87;0,66;0;200420170000
